,NAME,GRADE,AGE,SKILL,STARCOLL,NUMOFF,POS,HEIGHT_IN,WEIGHT_LBS,COLLDIST_MI,NILVAL_LONG_USD,INSTA_LONG,TWIT_LONG,TIK_LONG,SPORT,RECRUIT_YEAR,EXP_MONTHS,EXP_YEARS,institution_name_short,ClassificationCode,REV_MEN,EXP_MEN
0,Isaiah Collier,2.0,18.0,99.39,USC,17.0,1.0,75.0,190.0,1921.0,594000.0,85000.0,2800.0,0.0,basketball,2023.0,2.0,0.1726027397260274,USC,1.0,7241439.0,9496433.0
1,Bronny James,2.0,18.0,97.11,USC,13.0,1.0,75.0,190.0,2045.0,6100000.0,7700000.0,24000.0,5800000.0,basketball,2023.0,2.0,0.1726027397260274,USC,1.0,7241439.0,9496433.0
14,Isaiah Elohim,0.0,17.0,95.87,USC,18.0,2.0,77.0,205.0,2445.0,80000.0,35000.0,1900.0,0.0,basketball,2024.0,0.0,0.0,USC,1.0,7241439.0,9496433.0
15,Vyctorius Miller,0.0,17.0,95.76,USC,22.0,2.0,77.0,170.0,15.0,93000.0,60000.0,0.0,0.0,basketball,2024.0,0.0,0.0,USC,1.0,7241439.0,9496433.0
18,Tajh Ariza,0.0,15.0,97.22,USC,4.0,4.0,77.0,170.0,11.0,109000.0,3500.0,249.0,0.0,basketball,2026.0,0.0,0.0,USC,1.0,7241439.0,9496433.0
19,Justin Edwards,2.0,19.0,99.34,Kentucky,25.0,4.0,79.0,180.0,518.0,560000.0,45000.0,2200.0,11000.0,basketball,2023.0,2.0,0.1726027397260274,Kentucky,1.0,22667255.0,22667255.0
20,Aaron Bradshaw,2.0,19.0,99.29,Kentucky,17.0,5.0,85.0,210.0,574.0,519000.0,6000.0,2700.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Kentucky,1.0,22667255.0,22667255.0
21,DJ Wagner Jr.,2.0,18.0,99.23,Kentucky,8.0,3.0,75.0,165.0,520.0,581000.0,179000.0,0.0,5.0,basketball,2023.0,2.0,0.1726027397260274,Kentucky,1.0,22667255.0,22667255.0
22,Robert Dillingham,2.0,18.0,98.1,Kentucky,17.0,2.0,74.0,165.0,279.0,742000.0,460000.0,2400.0,237000.0,basketball,2023.0,2.0,0.1726027397260274,Kentucky,1.0,22667255.0,22667255.0
23,Reed Sheppard,2.0,18.316666666666666,96.2,Kentucky,11.0,3.0,75.0,170.0,65.0,96000.0,46000.0,13800.0,4100.0,basketball,2023.0,2.0,0.1726027397260274,Kentucky,1.0,22667255.0,22667255.0
33,Bryce Hopkins,6.0,20.0,96.49,Kentucky,19.0,5.0,79.0,220.0,320.0,126000.0,25000.0,7100.0,3100.0,basketball,2021.0,26.0,2.1726027397260275,Kentucky,1.0,22667255.0,22667255.0
34,Karter Knox,0.0,17.0,98.67,Kentucky,11.0,4.0,78.0,205.0,705.0,422000.0,16400.0,208.0,0.0,basketball,2024.0,0.0,0.0,Kentucky,1.0,22667255.0,22667255.0
35,Jayden Quaintance,0.0,17.0,98.5,Kentucky,21.0,6.0,82.0,225.0,280.0,311000.0,5900.0,330.0,0.0,basketball,2024.0,0.0,0.0,Kentucky,1.0,22667255.0,22667255.0
36,Billy Richmond,0.0,17.0,96.75,Kentucky,15.0,4.0,78.0,200.0,367.0,78000.0,0.0,705.0,0.0,basketball,2024.0,0.0,0.0,Kentucky,1.0,22667255.0,22667255.0
48,Cody Williams,2.0,18.0,99.23,Colorado,24.0,4.0,80.0,180.0,590.0,408000.0,3000.0,0.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Colorado,1.0,9449463.0,7945016.0
59,Stephon Castle,2.0,18.0,98.9,Connecticut,8.0,2.0,78.0,205.0,850.0,432000.0,23000.0,3100.0,4600.0,basketball,2023.0,2.0,0.1726027397260274,Connecticut,1.0,24055088.0,24055088.0
60,Solomon Ball,2.0,18.316666666666666,95.65,Connecticut,18.0,1.0,75.0,185.0,339.0,65000.0,6600.0,1100.0,10900.0,basketball,2023.0,2.0,0.1726027397260274,Connecticut,1.0,24055088.0,24055088.0
64,Donovan Clingan,4.0,19.1,95.71,Connecticut,14.0,6.0,85.0,255.0,36.0,86000.0,39000.0,5700.0,5900.0,basketball,2022.0,14.0,1.1726027397260275,Connecticut,1.0,24055088.0,24055088.0
72,Ja'Kobe Walter,2.0,19.0,98.72,Baylor,20.0,4.0,77.0,185.0,118.0,425000.0,15200.0,2700.0,34000.0,basketball,2023.0,2.0,0.1726027397260274,Baylor,1.0,13308914.0,13308914.0
73,Yves Missi,2.0,18.316666666666666,96.67,Baylor,17.0,6.0,83.0,225.0,7164.0,83000.0,2000.0,692.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Baylor,1.0,13308914.0,13308914.0
80,Tre Johnson,0.0,17.0,99.31,Baylor,20.0,2.0,77.0,180.0,88.0,537000.0,29000.0,2800.0,0.0,basketball,2024.0,0.0,0.0,Baylor,1.0,13308914.0,13308914.0
81,Jason Asemota,0.0,17.0,97.18,Baylor,21.0,4.0,80.0,190.0,1621.0,110000.0,5400.0,1200.0,0.0,basketball,2024.0,0.0,0.0,Baylor,1.0,13308914.0,13308914.0
82,Rob Wright,0.0,17.0,96.47,Baylor,18.0,1.0,73.0,180.0,1357.0,91000.0,14500.0,703.0,0.0,basketball,2024.0,0.0,0.0,Baylor,1.0,13308914.0,13308914.0
83,Omaha Biliew,2.0,19.0,98.68,Iowa State,17.0,5.0,80.0,215.0,33.0,442000.0,31000.0,6500.0,2000.0,basketball,2023.0,2.0,0.1726027397260274,Iowa State,1.0,15676249.0,7443040.0
84,Milan Momcilovic,2.0,18.0,95.83,Iowa State,16.0,5.0,80.0,210.0,281.0,65000.0,7100.0,2700.0,1100.0,basketball,2023.0,2.0,0.1726027397260274,Iowa State,1.0,15676249.0,7443040.0
93,Jared McCain,2.0,19.0,98.66,Duke,19.0,2.0,75.0,195.0,2179.0,1100000.0,600000.0,11300.0,2000000.0,basketball,2023.0,2.0,0.1726027397260274,Duke,1.0,45108538.0,28019888.0
94,Sean Stewart,2.0,18.0,97.94,Duke,13.0,5.0,80.0,230.0,535.0,231000.0,30000.0,3200.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Duke,1.0,45108538.0,28019888.0
95,TJ Power,2.0,19.0,97.66,Duke,24.0,4.0,80.0,210.0,580.0,204000.0,0.0,3800.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Duke,1.0,45108538.0,28019888.0
96,Caleb Foster,2.0,18.316666666666666,97.47,Duke,11.0,1.0,77.0,190.0,121.0,237000.0,38000.0,2700.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Duke,1.0,45108538.0,28019888.0
99,Kyle Filipowski,4.0,19.1,99.26,Duke,23.0,5.0,83.0,230.0,548.0,393000.0,36000.0,12000.0,0.0,basketball,2022.0,14.0,1.1726027397260275,Duke,1.0,45108538.0,28019888.0
101,Tyrese Proctor,4.0,19.0,95.7,Duke,4.0,1.0,76.0,175.0,9625.0,63000.0,7700.0,7600.0,11200.0,basketball,2022.0,14.0,1.1726027397260275,Duke,1.0,45108538.0,28019888.0
108,Cooper Flagg,0.0,17.0,99.7,Duke,16.0,4.0,81.0,195.0,795.0,920000.0,400000.0,7400.0,5200.0,basketball,2024.0,0.0,0.0,Duke,1.0,45108538.0,28019888.0
109,Kon Knueppel,0.0,17.0,98.17,Duke,15.0,2.0,77.0,205.0,682.0,208000.0,2200.0,809.0,0.0,basketball,2024.0,0.0,0.0,Duke,1.0,45108538.0,28019888.0
110,Isaiah Evans,0.0,17.0,97.93,Duke,25.0,4.0,78.0,165.0,117.0,208000.0,1100.0,3600.0,0.0,basketball,2024.0,0.0,0.0,Duke,1.0,45108538.0,28019888.0
111,Patrick Ngongba,0.0,17.0,97.35,Duke,23.0,6.0,82.0,235.0,197.0,108000.0,2500.0,1100.0,0.0,basketball,2024.0,0.0,0.0,Duke,1.0,45108538.0,28019888.0
113,Mackenzie Mgbako,2.0,-2.0,98.52,Indiana,25.0,4.0,80.0,210.0,631.0,349000.0,40000.0,10000.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Indiana,1.0,25955324.0,15867671.0
114,Gabe Cupps,2.0,18.316666666666666,92.48,Indiana,8.0,1.0,74.0,165.0,129.0,215000.0,352000.0,10300.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Indiana,1.0,25955324.0,15867671.0
122,Jalen Haralson,0.0,16.0,98.76,Indiana,23.0,2.0,79.0,205.0,80.0,213000.0,7100.0,2700.0,3300.0,basketball,2025.0,0.0,0.0,Indiana,1.0,25955324.0,15867671.0
124,Derik Queen,0.0,17.0,98.24,Indiana,18.0,5.0,81.0,230.0,525.0,317000.0,12400.0,1100.0,0.0,basketball,2024.0,0.0,0.0,Indiana,1.0,25955324.0,15867671.0
125,Elliot Cadeau,2.0,19.0,98.46,North Carolina,20.0,1.0,74.0,165.0,422.0,476000.0,188000.0,8800.0,14400.0,basketball,2023.0,2.0,0.1726027397260274,North Carolina,1.0,31965031.0,12445368.0
133,Ian Jackson,0.0,17.0,98.66,North Carolina,18.0,2.0,77.0,180.0,435.0,502000.0,100000.0,3500.0,0.0,basketball,2024.0,0.0,0.0,North Carolina,1.0,31965031.0,12445368.0
134,Drake Powell,0.0,17.0,98.52,North Carolina,14.0,4.0,78.0,185.0,18.0,304000.0,0.0,1900.0,0.0,basketball,2024.0,0.0,0.0,North Carolina,1.0,31965031.0,12445368.0
136,Xavier Booker,2.0,19.0,98.3,Michigan State,25.0,5.0,83.0,205.0,224.0,337000.0,28000.0,5100.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Michigan State,1.0,26270974.0,16652793.0
137,Coen Carr,2.0,18.0,96.6,Michigan State,19.0,4.0,79.0,200.0,623.0,124000.0,92000.0,3100.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Michigan State,1.0,26270974.0,16652793.0
138,Jeremy Fears,2.0,18.316666666666666,95.96,Michigan State,25.0,1.0,73.0,165.0,212.0,98000.0,52000.0,7200.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Michigan State,1.0,26270974.0,16652793.0
144,Trey McKenney,0.0,16.0,98.1,Michigan State,25.0,2.0,76.0,205.0,42.0,219000.0,16000.0,2100.0,1900.0,basketball,2025.0,0.0,0.0,Michigan State,1.0,26270974.0,16652793.0
146,Bryson Tucker,0.0,17.0,98.12,Michigan State,16.0,4.0,79.0,195.0,472.0,215000.0,11000.0,781.0,0.0,basketball,2024.0,0.0,0.0,Michigan State,1.0,26270974.0,16652793.0
150,Kwame Evans Jr.,2.0,19.0,98.1,Oregon,25.0,5.0,82.0,200.0,2388.0,219000.0,15700.0,1600.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Oregon,1.0,11779408.0,10969891.0
151,Jackson Shelstad,2.0,18.316666666666666,97.03,Oregon,12.0,1.0,72.0,170.0,90.0,100000.0,20000.0,1700.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Oregon,1.0,11779408.0,10969891.0
152,Mookie Cook,2.0,18.316666666666666,96.59,Oregon,23.0,4.0,79.0,200.0,48.0,90000.0,43000.0,2300.0,7500.0,basketball,2023.0,2.0,0.1726027397260274,Oregon,1.0,11779408.0,10969891.0
155,Aden Holloway,2.0,19.0,97.8,Auburn,14.0,3.0,72.0,155.0,328.0,286000.0,93000.0,3000.0,2700.0,basketball,2023.0,2.0,0.1726027397260274,Auburn,1.0,17007845.0,13813577.0
156,Yohan Traore,4.0,19.1,98.02,Auburn,25.0,5.0,82.0,225.0,2087.0,163000.0,8200.0,4000.0,0.0,basketball,2022.0,14.0,1.1726027397260275,Auburn,1.0,17007845.0,13813577.0
161,Tahaad Pettiford,0.0,17.0,97.25,Auburn,16.0,1.0,72.0,160.0,849.0,141000.0,50000.0,1600.0,0.0,basketball,2024.0,0.0,0.0,Auburn,1.0,17007845.0,13813577.0
165,Sam Funches,0.0,15.0,97.65,Auburn,10.0,6.0,82.0,190.0,268.0,108000.0,2900.0,1200.0,0.0,basketball,2026.0,0.0,0.0,Auburn,1.0,17007845.0,13813577.0
166,Jarin Stevenson,2.0,17.0,97.36,Alabama,7.0,5.0,80.0,200.0,510.0,115000.0,2000.0,2200.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Alabama,1.0,19047972.0,10900723.0
181,Aiden Sherrell,0.0,17.0,96.69,Alabama,22.0,6.0,83.0,220.0,682.0,82000.0,1500.0,1300.0,0.0,basketball,2024.0,0.0,0.0,Alabama,1.0,19047972.0,10900723.0
182,Caleb Holt,0.0,15.0,98.69,Alabama,13.0,2.0,77.0,185.0,124.0,192000.0,25000.0,1000.0,4600.0,basketball,2026.0,0.0,0.0,Alabama,1.0,19047972.0,10900723.0
184,Elmarko Jackson,2.0,19.0,97.15,Kansas,25.0,1.0,76.0,200.0,1082.0,121000.0,12900.0,2300.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Kansas,1.0,17126971.0,15508894.0
188,MJ Rice,4.0,19.1,97.39,Kansas,19.0,4.0,77.0,215.0,770.0,119000.0,55000.0,3500.0,204.0,basketball,2022.0,14.0,1.1726027397260275,Kansas,1.0,17126971.0,15508894.0
192,KJ Adams,3.0,20.0,94.35,Kansas,13.0,5.0,79.0,225.0,623.0,79000.0,24000.0,8000.0,2800.0,basketball,2021.0,26.0,2.1726027397260275,Kansas,1.0,17126971.0,15508894.0
195,Flory Bidunga,0.0,17.0,99.23,Kansas,17.0,6.0,81.0,215.0,7105.0,531000.0,23000.0,3600.0,0.0,basketball,2024.0,0.0,0.0,Kansas,1.0,17126971.0,15508894.0
198,Andrej Stojakovic,2.0,19.0,97.13,Stanford,22.0,2.0,78.0,185.0,95.0,138000.0,43000.0,2100.0,14200.0,basketball,2023.0,2.0,0.1726027397260274,Stanford,1.0,11369560.0,7315705.0
199,Kanaan Carlyle,2.0,18.316666666666666,95.55,Stanford,7.0,3.0,74.0,175.0,2121.0,69000.0,18600.0,634.0,3.0,basketball,2023.0,2.0,0.1726027397260274,Stanford,1.0,11369560.0,7315705.0
202,Harrison Ingram,6.0,20.0,98.0,Stanford,25.0,4.0,79.0,230.0,1465.0,173000.0,15400.0,5300.0,6600.0,basketball,2021.0,26.0,2.1726027397260275,Stanford,1.0,11369560.0,7315705.0
205,Dennis Evans,2.0,18.0,96.69,Louisville,6.0,6.0,85.0,210.0,1781.0,87000.0,8600.0,0.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Louisville,1.0,21853488.0,21853488.0
216,Tyran Stokes,0.0,15.0,99.45,Louisville,14.0,4.0,79.0,225.0,0.0,245000.0,90000.0,1700.0,36000.0,basketball,2026.0,0.0,0.0,Louisville,1.0,21853488.0,21853488.0
217,Baye Fall,2.0,19.0,96.61,Arkansas,24.0,5.0,82.0,205.0,655.0,74000.0,17300.0,3800.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Arkansas,1.0,24094372.0,11802170.0
218,Layden Blocker,2.0,18.316666666666666,95.81,Arkansas,25.0,1.0,75.0,175.0,127.0,71000.0,12800.0,2300.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Arkansas,1.0,24094372.0,11802170.0
234,DeShawn Harris-Smith,2.0,18.316666666666666,96.44,Maryland,18.0,2.0,77.0,205.0,25.0,67000.0,8900.0,1700.0,2800.0,basketball,2023.0,2.0,0.1726027397260274,Maryland,1.0,13543625.0,16352454.0
241,Tyler Jackson,0.0,16.0,97.1,Maryland,19.0,3.0,73.0,160.0,26.0,112000.0,8700.0,387.0,0.0,basketball,2025.0,0.0,0.0,Maryland,1.0,13543625.0,16352454.0
242,Efeosa Oliogu,0.0,16.0,96.62,Maryland,20.0,2.0,77.0,200.0,346.0,61000.0,7400.0,535.0,0.0,basketball,2025.0,0.0,0.0,Maryland,1.0,13543625.0,16352454.0
257,Taison Chatman,2.0,19.0,96.08,Ohio State,19.0,2.0,76.0,170.0,621.0,70000.0,7300.0,2000.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Ohio State,1.0,23575794.0,11903830.0
258,Devin Royal,2.0,19.0,95.95,Ohio State,16.0,5.0,79.0,210.0,20.0,76000.0,16200.0,2900.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Ohio State,1.0,23575794.0,11903830.0
268,Darryn Peterson,0.0,16.0,99.23,Ohio State,25.0,2.0,77.0,175.0,99.0,270000.0,16000.0,1400.0,0.0,basketball,2025.0,0.0,0.0,Ohio State,1.0,23575794.0,11903830.0
272,Juni Mobley,0.0,17.0,95.46,Ohio State,10.0,2.0,72.0,150.0,350.0,120000.0,97000.0,1500.0,0.0,basketball,2024.0,0.0,0.0,Ohio State,1.0,23575794.0,11903830.0
274,Marcus Johnson,0.0,15.0,96.14,Ohio State,15.0,1.0,74.0,165.0,116.0,61000.0,46000.0,570.0,0.0,basketball,2026.0,0.0,0.0,Ohio State,1.0,23575794.0,11903830.0
279,Joson Sanon,0.0,16.0,97.88,Providence,12.0,2.0,77.0,180.0,11.0,157000.0,0.0,698.0,8200.0,basketball,2025.0,0.0,0.0,Providence,3.0,13550282.0,13550282.0
282,Ikenna Alozie,0.0,15.0,96.75,Providence,8.0,2.0,75.0,185.0,5136.0,75000.0,3800.0,175.0,240.0,basketball,2026.0,0.0,0.0,Providence,3.0,13550282.0,13550282.0
283,Gavin Griffiths,2.0,19.0,95.94,Rutgers,19.0,2.0,79.0,185.0,121.0,65000.0,7200.0,1500.0,0.0,basketball,2023.0,2.0,0.1726027397260274,Rutgers,1.0,10503109.0,10503109.0
290,Dylan Harper,0.0,17.0,99.41,Rutgers,10.0,3.0,78.0,205.0,29.0,598000.0,89000.0,3000.0,1600.0,basketball,2024.0,0.0,0.0,Rutgers,1.0,10503109.0,10503109.0
