,NAME,GRADE,AGE,SKILL,HISCH,HOTOWN,STARCOLL,NUMOFF,POS,HEIGHT_IN,WEIGHT_LBS,COLLDIST_MI,NILVAL_LONG_USD,INSTA_LONG,TWIT_LONG,TIK_LONG,STATE,SPORT,RECRUIT_YEAR,EXP_MONTHS,EXP_YEARS,institution_name_short,ClassificationCode,REV_MEN,EXP_MEN
0,Isaiah Collier,2.0,18.0,99.39,Wheeler,"Marietta, GA",USC,17.0,1.0,75.0,190.0,1921.0,594000.0,85000.0,2800.0,0.0, GA,basketball,2023.0,2.0,0.16712328767123288,USC,1.0,7241439.0,9496433.0
1,Bronny James,2.0,18.0,97.11,Sierra Canyon,"Cleveland, OH",USC,13.0,1.0,75.0,190.0,2045.0,6100000.0,7700000.0,24000.0,5800000.0, OH,basketball,2023.0,2.0,0.16712328767123288,USC,1.0,7241439.0,9496433.0
2,Arrinten Page,2.0,18.316666666666666,95.05,Wheeler,"Marietta, GA",USC,20.0,6.0,81.0,225.0,1921.0,,904.0,761.0,0.0, GA,basketball,2023.0,2.0,0.16712328767123288,USC,1.0,7241439.0,9496433.0
3,Brandon Gardner,2.0,19.0,92.2,Christ The King Regional,"Raleigh, NC",USC,25.0,5.0,79.0,210.0,2233.0,,22000.0,2700.0,4600.0, NC,basketball,2023.0,2.0,0.16712328767123288,USC,1.0,7241439.0,9496433.0
4,Tichyque Musaka,,18.316666666666666,84.07,,,USC,9.0,6.0,82.0,200.0,310.0,,0.0,0.0,0.0,,basketball,2023.0,2.0,0.16712328767123288,USC,1.0,7241439.0,9496433.0
5,Vince Iwuchukwu,4.0,19.1,97.39,Southern California Academy,"San Antonio, TX",USC,11.0,5.0,83.0,220.0,1197.0,,7900.0,1000.0,25000.0, TX,basketball,2022.0,14.0,1.167123287671233,USC,1.0,7241439.0,9496433.0
6,Tre White,4.0,19.1,96.47,Prolific Prep,"Los Angeles, CA",USC,12.0,2.0,79.0,190.0,0.0,,32000.0,2400.0,76.0, CA,basketball,2022.0,14.0,1.167123287671233,USC,1.0,7241439.0,9496433.0
7,Kijani Wright,4.0,19.1,95.25,Sierra Canyon,"Los Angeles, CA",USC,15.0,5.0,81.0,220.0,0.0,,7900.0,1100.0,78.0, CA,basketball,2022.0,14.0,1.167123287671233,USC,1.0,7241439.0,9496433.0
8,Oziyah Sellers,4.0,19.1,90.25,Southern California Academy,"Castaic, CA",USC,3.0,2.0,77.0,160.0,45.0,,3800.0,705.0,221.0, CA,basketball,2022.0,14.0,1.167123287671233,USC,1.0,7241439.0,9496433.0
9,Jason Hart Jr.,,19.1,86.0,,,USC,1.0,1.0,73.0,170.0,24.0,,0.0,0.0,0.0,,basketball,2022.0,14.0,1.167123287671233,USC,1.0,7241439.0,9496433.0
