,NAME,GRADE,AGE,SKILL,STARCOLL,NUMOFF,POS,HEIGHT_IN,WEIGHT_LBS,COLLDIST_MI,NILVAL_LONG_USD,INSTA_LONG,TWIT_LONG,TIK_LONG,TOT_FOL,SPORT,RECRUIT_YEAR,EXP_MONTHS,EXP_YEARS,institution_name_short,ClassificationCode,REV_MEN,EXP_MEN
0,Arch Manning,2.0,18.282809611829943,99.53,Texas,18.0,1.0,75.5,220.0,459.0,2900000.0,73900.0,65000.0,8900.0,73900.0,football,2023.0,2.0,0.1726027397260274,Texas,1.0,161532860.0,50633156.0
1,Anthony Hill,2.0,18.0,97.87,Texas,25.0,8.0,73.5,225.0,207.0,497000.0,13100.0,13100.0,0.0,13100.0,football,2023.0,2.0,0.1726027397260274,Texas,1.0,161532860.0,50633156.0
2,CJ Baxter Jr.,2.0,18.0,97.26,Texas,25.0,9.0,73.0,216.0,992.0,443000.0,10900.0,9200.0,1700.0,10900.0,football,2023.0,2.0,0.1726027397260274,Texas,1.0,161532860.0,50633156.0
3,Johntay Cook II,2.0,18.0,97.23,Texas,25.0,3.0,71.0,175.0,170.0,372000.0,153800.0,17800.0,136000.0,153800.0,football,2023.0,2.0,0.1726027397260274,Texas,1.0,161532860.0,50633156.0
4,Malik Muhammad,2.0,19.0,96.22,Texas,25.0,7.0,72.0,180.0,183.0,257000.0,16200.0,8100.0,8100.0,16200.0,football,2023.0,2.0,0.1726027397260274,Texas,1.0,161532860.0,50633156.0
5,Derek Williams,2.0,18.0,95.52,Texas,17.0,4.0,73.0,185.0,351.0,173000.0,7400.0,4400.0,3000.0,7400.0,football,2023.0,2.0,0.1726027397260274,Texas,1.0,161532860.0,50633156.0
6,Ryan Niblett,2.0,18.282809611829943,95.43,Texas,18.0,3.0,70.5,174.0,147.0,161000.0,5600.0,2600.0,3000.0,5600.0,football,2023.0,2.0,0.1726027397260274,Texas,1.0,161532860.0,50633156.0
7,Jelani McDonald,2.0,18.282809611829943,95.03,Texas,6.0,7.0,74.0,180.0,96.0,160000.0,1900.0,1900.0,0.0,1900.0,football,2023.0,2.0,0.1726027397260274,Texas,1.0,161532860.0,50633156.0
8,Colton Vasek,2.0,18.282809611829943,94.31,Texas,25.0,2.0,77.5,225.0,0.0,210000.0,10400.0,10400.0,0.0,10400.0,football,2023.0,2.0,0.1726027397260274,Texas,1.0,161532860.0,50633156.0
9,DeAndre Moore Jr.,2.0,19.0,93.9,Texas,23.0,3.0,71.5,188.0,1213.0,199000.0,8307.0,8200.0,107.0,8307.0,football,2023.0,2.0,0.1726027397260274,Texas,1.0,161532860.0,50633156.0
10,Tausili Akana,2.0,19.0,93.5,Texas,25.0,2.0,75.0,195.0,3747.0,147000.0,11900.0,5000.0,6900.0,11900.0,football,2023.0,2.0,0.1726027397260274,Texas,1.0,161532860.0,50633156.0
11,Derion Gullette,2.0,18.282809611829943,93.34,Texas,22.0,8.0,75.0,225.0,89.0,188000.0,8200.0,4900.0,3300.0,8200.0,football,2023.0,2.0,0.1726027397260274,Texas,1.0,161532860.0,50633156.0
12,Jaydon Chatman,2.0,18.282809611829943,91.87,Texas,12.0,10.0,76.0,299.0,55.0,144000.0,2672.0,2600.0,72.0,2672.0,football,2023.0,2.0,0.1726027397260274,Texas,1.0,161532860.0,50633156.0
13,Sydir Mitchell,2.0,18.282809611829943,91.59,Texas,25.0,5.0,78.0,320.0,1516.0,144000.0,5400.0,4100.0,1300.0,5400.0,football,2023.0,2.0,0.1726027397260274,Texas,1.0,161532860.0,50633156.0
14,Warren Roberson,2.0,18.282809611829943,90.89,Texas,25.0,7.0,72.0,190.0,165.0,161000.0,2700.0,2700.0,0.0,2700.0,football,2023.0,2.0,0.1726027397260274,Texas,1.0,161532860.0,50633156.0
15,S'Maje Burrell,2.0,18.282809611829943,90.17,Texas,25.0,8.0,72.0,215.0,174.0,89000.0,7100.0,4800.0,2300.0,7100.0,football,2023.0,2.0,0.1726027397260274,Texas,1.0,161532860.0,50633156.0
25,DJ Campbell,4.0,19.0,98.26,Texas,25.0,10.0,75.0,325.0,167.0,177000.0,6700.0,6700.0,0.0,6700.0,football,2022.0,14.0,1.1726027397260275,Texas,1.0,161532860.0,50633156.0
26,Kelvin Banks,4.0,19.0,97.49,Texas,24.0,6.0,77.0,313.0,147.0,679000.0,12700.0,12700.0,0.0,12700.0,football,2022.0,14.0,1.1726027397260275,Texas,1.0,161532860.0,50633156.0
